,Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4,mass,mass_z1,mass_z2
15,1,1906,13,-1,53.626500,33.151400,-16.570300,38.758200,0.913368,-0.463518,-13,1,12.847200,9.864530,0.449592,-8.217590,-0.757600,0.045545,-11,1,365.621000,7.036550,172.678000,322.198000,1.381270,1.530070,11,-1,35.632100,27.848500,-2.673360,-22.067100,-0.723877,-0.095703,282.269171,202.007299,37.091461
16,1,62966,13,-1,22.576500,-4.988360,18.468600,-11.988000,-0.591538,1.834600,-13,1,7.981610,-4.750120,1.409770,6.256510,1.055500,2.853090,-11,1,170.932000,131.080000,11.920500,-109.058000,-0.754825,0.090691,11,-1,203.505000,-40.449900,46.826600,-193.870000,-1.859710,2.283260,236.695880,191.761980,20.272161
