,Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4,mass,mass_z1,mass_z2
22,1,37383484,13,-1,93.946100,-25.373000,33.373900,84.072800,1.446040,2.220840,-13,1,190.733000,35.661700,-14.721600,186.790000,2.280880,-0.391502,-13,1,7.690110,-2.485580,-6.102130,3.963910,0.570198,-1.957610,13,-1,8.126350,-0.470297,-5.263340,6.172720,0.995404,-1.659910,105.971854,32.551605,25.934477
27,1,56941415,-13,1,10.347600,4.637020,1.144920,9.178770,1.408080,0.242066,13,-1,8.925720,-3.455130,2.811950,-7.733840,-1.318970,2.458470,11,-1,68.208000,-5.611610,-37.300600,-56.828800,-1.198410,-1.720120,-11,1,36.920900,10.075700,35.263400,4.257500,0.115829,1.292480,113.253894,90.908007,18.770172
31,1,32601785,11,-1,125.048000,40.238300,20.790900,116.558000,1.674170,0.476914,-11,1,108.671000,-16.019300,-15.758700,106.323000,2.258370,-2.364390,-11,1,19.875100,-5.975190,-4.517560,18.409400,1.631380,-2.494230,11,-1,17.240400,-5.466860,-3.507480,15.970000,1.631790,-2.571150,83.643323,36.711354,8.078492
36,1,15548590,-13,1,5.592300,-3.772410,-3.811070,-1.583470,-0.291160,-2.351100,13,-1,10.023500,2.561860,-3.620300,-8.988350,-1.455500,-0.954963,11,-1,47.209800,-43.428200,17.117000,-7.054050,-0.150546,2.766140,-11,1,62.797200,21.386000,-11.648400,57.883000,1.600510,-0.498744,116.687225,94.879891,8.683268
38,1,27759902,13,-1,40.185200,27.607300,-9.866050,27.483300,0.836441,-0.343226,-13,1,93.402400,-19.883500,4.616970,91.144500,2.201760,2.913430,11,-1,81.395000,-15.596900,5.784020,79.677000,2.270350,2.786470,-11,1,10.472400,7.252480,-2.486330,7.133730,0.831342,-0.330268,92.848125,60.711465,28.688190
148,1,34701966,11,-1,81.486300,32.940500,68.359500,29.697200,0.382001,1.121760,-11,1,32.344900,-26.308900,-13.710400,12.886400,0.421754,-2.661180,-11,1,107.889000,20.786000,-8.512090,105.525000,2.251440,-0.388679,11,-1,28.706800,6.838090,-1.930840,27.813600,2.073740,-0.275201,169.225956,105.402617,38.040232
169,1,42852801,13,-1,158.263000,38.778900,-8.507010,153.203000,2.059910,-0.215952,-13,1,146.018000,-25.403100,12.857700,143.215000,2.318320,2.673040,11,-1,74.626800,-14.459400,4.074010,73.099200,2.285820,2.866960,-11,1,44.279900,8.496980,-1.217020,43.440000,2.324280,-0.142262,91.909040,67.271507,22.665068
216,1,41919701,11,-1,56.505400,35.776200,29.032400,-32.711600,-0.660822,0.681714,-11,1,31.799800,-24.185000,-15.382500,13.772900,0.463724,-2.575100,11,-1,16.324600,-9.264450,-12.441600,-5.086130,-0.322276,-2.210860,-11,1,10.426000,-5.605280,-7.908480,-3.838910,-0.386348,-2.187380,111.381363,53.827623,15.950031
