,Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4,mass,mass_z1,mass_z2
1,1,4287127,-13,1,104.924000,40.117700,13.548200,-96.000000,-1.557110,0.325684,13,-1,16.465600,11.885000,-0.059451,-11.395000,-0.851910,-0.005002,11,-1,265.652000,-33.757900,97.850400,244.656000,1.595350,1.903010,-11,1,16.924300,6.475750,2.214030,-15.478800,-1.554910,0.329436,367.222159,128.724397,17.762934
9,1,11858426,-11,1,355.967000,4.142540,197.056000,296.419000,1.196930,1.549780,11,-1,142.454000,1.325610,-95.925400,105.307000,0.948797,-1.556980,-11,1,60.361300,-28.042500,-8.833090,52.716900,1.347060,-2.836440,11,-1,8.591760,-6.358070,-3.262680,4.769520,0.625761,-2.667480,319.801487,124.234877,28.885645
11,1,7451784,13,-1,25.526500,16.386300,19.270900,3.422580,0.134893,0.866122,-13,1,7.317320,-6.068210,3.531670,-2.058160,-0.289096,2.614520,11,-1,160.929000,-24.364100,84.153200,134.991000,1.217200,1.852610,-11,1,327.992000,10.645800,-50.717800,323.872000,2.532000,-1.363900,239.280126,164.870779,21.223447
24,1,23505263,-11,1,128.026000,-72.518300,-15.487700,104.364000,1.142270,-2.931180,-11,1,304.601000,49.551600,40.721300,297.773000,2.239850,0.687891,11,-1,37.574900,33.493100,10.640900,-13.298500,-0.369919,0.307618,11,-1,91.993600,16.728800,6.526750,90.224000,2.317220,0.371986,289.865813,132.605713,10.960615
