,Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4,mass,mass_z1,mass_z2
1448,200991,98100215,-11,1,71.1403,-59.3669,10.7768,-37.6879,-0.589824,2.96202,11,-1,133.965,-32.4606,31.8084,-126.02,-1.74407,2.36634,11,-1,55.241,15.4752,-32.4572,-41.9359,-0.99419,-1.12589,-11,1,42.5599,29.7828,-20.0473,-22.8569,-0.600003,-0.592454,193.060833,94.080895,85.063285
1450,200992,12629927,-13,1,55.3165,-34.6715,12.9834,41.1002,0.957147,2.78329,13,-1,21.3704,20.942,3.00088,-3.01862,-0.142205,0.142326,13,-1,18.1454,4.40867,-6.64189,16.3001,1.46345,-0.984803,-13,1,15.7335,3.60838,-5.6692,14.2258,1.49472,-1.00398,86.438911,33.849707,25.323061
1455,200992,240998623,13,-1,38.2578,-8.64717,11.2404,35.5321,1.64927,2.22653,-13,1,22.4375,-3.35048,4.63396,21.6963,2.04354,2.19681,-13,1,6.7287,-0.286738,5.66612,3.61623,0.600634,1.62136,13,-1,7.30018,-1.49188,3.93318,5.96539,1.14846,1.93334,16.775917,9.519561,4.522168
1457,200992,279759749,-13,1,50.2312,46.8218,3.37281,17.8748,0.372128,0.071911,-13,1,63.8629,6.36975,45.5338,-44.3234,-0.855709,1.43181,13,-1,48.6275,-40.2017,-20.5703,18.0365,0.389479,-2.66865,13,-1,37.7945,-17.0332,-33.3279,5.24725,0.13974,-2.04327,200.388187,100.971837,73.683285
1459,200992,335115416,-11,1,40.6085,-35.5905,-11.5469,-15.7808,-0.410161,-2.82787,11,-1,21.9521,15.0365,-14.8586,-5.91785,-0.276411,-0.779446,-11,1,23.108,12.4566,16.653,-10.0743,-0.467241,0.928571,11,-1,13.7327,8.98702,9.65526,-3.8206,-0.285743,0.821228,92.805801,53.198276,23.965877
1465,200992,468873972,13,-1,88.9664,-35.4183,36.8853,72.8012,1.15165,2.33591,-13,1,254.947,44.0453,-15.2083,-250.653,-2.38421,-0.332471,-13,1,31.418,-17.5942,-3.47085,-25.7968,-1.16015,-2.94682,13,-1,11.3063,7.14792,-0.883537,-8.71486,-1.02236,-0.122984,322.625308,91.411922,27.192645
1474,201159,266681067,-13,1,14.9746,-0.619209,9.23349,11.7723,1.06133,1.63776,13,-1,9.28171,-2.08854,6.80766,5.95253,0.760481,1.86847,-13,1,17.0247,-5.3249,4.54273,15.519,1.53676,2.4353,13,-1,6.07388,-3.31257,2.26994,4.55578,0.973354,2.54083,12.75398,7.350066,3.714129
1483,201164,532271761,-13,1,74.5403,-11.78,7.86547,73.182,2.34459,2.55288,13,-1,8.92963,-4.37745,-7.39969,2.41034,0.276804,-2.105,13,-1,20.1077,-3.74743,-3.44764,19.4519,2.05011,-2.39784,-13,1,11.7694,3.59392,2.85542,10.8368,1.59428,0.671386,42.756044,15.221656,10.797508
1492,201168,670141831,13,-1,172.9,-31.5032,49.8353,162.537,1.73861,2.13452,-13,1,29.2888,2.47492,-25.6309,13.9555,0.518423,-1.47453,-13,1,14.0597,10.8764,-3.9812,7.96994,0.642911,-0.350893,13,-1,5.46293,4.31114,-1.64945,2.91991,0.596557,-0.365418,116.22075,57.907249,11.516734
1500,201174,185135060,-13,1,95.4266,-46.8745,72.4766,40.6959,0.455566,2.14489,13,-1,35.8806,34.8815,8.11067,2.21441,0.061795,0.228461,11,-1,95.9583,40.1057,-86.9746,-5.91113,-0.061679,-1.13873,-11,1,42.7437,-11.6092,4.65162,-40.8732,-1.9,2.7605,269.47093,97.264319,93.606335
1501,201174,216745941,13,-1,51.9009,-29.4324,-40.6069,-13.3603,-0.263343,-2.19798,-13,1,37.033,26.2934,26.0784,-0.061532,-0.001662,0.781292,11,-1,29.0968,21.7181,-18.6591,-5.1754,-0.179781,-0.709781,-11,1,17.5189,13.9578,2.43077,-10.3045,-0.674901,0.172422,124.634471,86.649653,19.931574
1509,201191,1357605031,-13,1,24.0013,-21.0535,-8.70326,7.5533,0.325762,-2.7496,13,-1,13.3035,-5.84821,-11.8388,-1.6165,-0.122117,-2.02962,-11,1,100.071,-28.3953,64.1247,-71.3863,-0.89398,1.98766,11,-1,24.5916,-11.6694,-21.3972,-3.27565,-0.133998,-2.07008,128.583042,80.842672,14.516345
1511,201191,1546558727,11,-1,80.5822,-43.4834,-60.4256,30.8453,0.403314,-2.19457,-11,1,49.1178,43.8461,12.7335,18.1091,0.386904,0.282639,-11,1,35.788,-8.83932,34.2325,-5.54822,-0.15629,1.82349,11,-1,19.172,12.6246,11.9426,8.0969,0.450524,0.757647,177.277301,97.356744,13.375069
1514,201191,199183870,-13,1,167.188,97.0049,21.1636,134.514,1.11143,0.214805,-13,1,212.258,-43.9959,65.0227,197.205,1.65164,2.16566,13,-1,49.9444,-17.9436,-27.1702,37.8713,0.992136,-2.15446,13,-1,23.6639,-13.73,-16.8966,9.2716,0.413933,-2.25317,243.911066,105.5605,85.89619
1516,201191,491885761,13,-1,33.0711,-32.1424,-7.62589,1.54965,0.046893,-2.90865,-13,1,20.3014,17.9777,9.15805,-2.25148,-0.111362,0.47115,-13,1,21.413,-0.417872,16.4913,13.6517,0.754037,1.59613,13,-1,14.6843,1.30711,-14.5894,1.02868,0.07017,-1.48144,87.300714,28.802712,25.374977
1519,201191,823377568,13,-1,32.7239,20.1944,21.2414,-14.5544,-0.478155,0.810661,-13,1,11.6959,8.67864,4.04959,-6.71306,-0.653453,0.436586,11,-1,41.0518,-22.2401,-31.8248,-13.3345,-0.337029,-2.18073,-11,1,10.9161,-0.299474,9.71354,4.97169,0.491552,1.60162,91.446226,40.420117,6.893995
1525,201196,134355928,-13,1,50.2063,47.4411,9.31226,13.5383,0.276491,0.193827,13,-1,46.543,-37.1062,-22.8253,16.3821,0.3677,-2.59012,11,-1,79.7758,-31.3442,17.2048,-71.3142,-1.44117,2.6396,-11,1,32.15,26.11,-16.1147,9.6025,0.308068,-0.55296,205.801516,93.222667,90.420044
1528,201196,199672891,-13,1,41.0954,-32.0253,22.5005,-12.527,-0.314834,2.52913,13,-1,35.1492,33.1316,2.79907,-11.3981,-0.336422,0.084283,-13,1,12.4175,-7.47029,-5.81066,-8.03837,-0.770746,-2.48051,13,-1,11.6224,-6.67693,-4.82518,-8.19788,-0.87793,-2.51582,89.77169,34.888997,23.22426
1530,201196,330062971,13,-1,120.686,-66.2855,-45.3563,-90.0785,-0.964749,-2.54151,-13,1,12.0209,-2.61605,-6.88162,-9.50214,-1.07276,-1.93407,11,-1,73.3209,14.1351,-33.0884,-63.8851,-1.33849,-1.16707,-11,1,59.1751,-11.55,-7.13312,-57.5969,-2.15199,-2.58834,92.289045,34.247048,14.78491
1532,201196,340900299,13,-1,146.408,6.56971,-34.9634,-142.02,-2.09279,-1.38506,-13,1,37.3917,-18.2606,29.0334,-14.8909,-0.421559,2.13223,-11,1,157.941,-35.8646,24.021,-151.928,-1.9711,2.55145,11,-1,44.8224,34.2392,-4.22028,-28.6168,-0.755548,-0.12264,187.576545,94.812749,90.121369
1539,201196,52498118,-13,1,46.8872,-43.1023,-17.0624,7.03357,0.151151,-2.76466,13,-1,27.2917,17.5036,-15.0631,-14.545,-0.594253,-0.710599,-13,1,8.69908,6.46723,1.708,5.56063,0.756934,0.258206,13,-1,7.63813,5.96349,2.07505,4.2966,0.636591,0.334855,84.917449,36.787698,19.891445
1545,201202,290344628,-13,1,230.795,-10.2759,-73.2498,218.621,1.80433,-1.71017,13,-1,27.6372,-6.14816,-26.935,0.713109,0.025808,-1.79521,11,-1,414.158,14.2734,80.0831,-406.091,-2.31091,1.39442,-11,1,39.5958,10.1448,29.8923,-23.9032,-0.698917,1.24361,680.199576,91.504135,91.14089
1548,201278,1021783875,13,-1,127.836,-93.6346,-31.2796,81.2165,0.750286,-2.81919,-13,1,72.0116,58.6534,8.23786,40.9581,0.645706,0.139537,13,-1,39.1929,-17.1581,24.7525,-25.0796,-0.758011,2.17694,-13,1,29.8758,18.9332,-19.1546,12.9301,0.463333,-0.791212,242.494373,111.488459,36.582079
1549,201278,1072952721,13,-1,132.765,-9.83845,-60.6716,-117.681,-1.40479,-1.73156,-13,1,104.92,5.91613,24.2087,-101.917,-2.11622,1.33111,11,-1,63.2606,30.5272,37.671,40.6312,0.762049,0.889769,-11,1,34.6622,-22.2291,-21.6641,-15.4272,-0.478539,-2.36907,272.774582,92.890009,83.222292
1550,201278,108451363,-13,1,24.5385,-2.11781,-8.50616,-22.9192,-1.68897,-1.81481,13,-1,15.7138,-4.02501,-6.31915,-13.8123,-1.37141,-2.13795,-13,1,6.76995,-1.30433,6.25952,-2.22222,-0.340908,1.77623,13,-1,6.45739,-0.045881,4.60233,-4.52805,-0.869881,1.58077,29.95919,18.20356,11.647901
1551,201278,1119120486,13,-1,20.2736,17.3682,1.02552,10.4068,0.567235,0.058977,-13,1,12.276,7.33009,0.968616,9.79898,1.09378,0.131381,11,-1,29.7927,-17.2552,24.122,-2.82761,-0.095196,2.19174,-11,1,31.3115,-3.99985,-27.2669,14.8636,0.516122,-1.71645,87.853983,55.92129,6.100886
1553,201278,1261755617,-13,1,63.2231,18.154,-17.1763,58.0738,1.57969,-0.75773,13,-1,54.8007,11.9389,-8.49043,52.806,1.99403,-0.618174,11,-1,159.621,-45.1114,-32.2118,149.687,1.71919,-2.5215,-11,1,34.9937,9.00276,-2.60306,33.7155,1.99221,-0.281464,86.293382,41.502965,8.421619
1555,201278,1278946974,-13,1,208.263,-43.9311,-35.86,-200.394,-1.97495,-2.457,13,-1,130.916,20.4507,34.8263,-124.531,-1.84451,1.03983,-11,1,81.6792,24.3154,12.7593,-76.9249,-1.75369,0.483245,11,-1,21.6461,2.07729,-10.7385,18.6795,1.30479,-1.37971,221.316615,94.412609,81.135278
1560,201278,1723198502,-11,1,43.6287,40.2628,-8.59506,14.4392,0.343901,-0.210317,11,-1,24.168,-22.2587,7.37674,-5.85013,-0.246962,2.82158,11,-1,10.9267,-4.12363,10.0322,-1.32002,-0.1214,1.96078,-11,1,10.824,-8.28312,-5.41336,-4.38675,-0.429952,-2.56273,89.261052,40.559944,13.458395
1566,201278,2073195431,-13,1,77.0033,64.9925,-31.4855,26.7233,0.362076,-0.451129,13,-1,43.257,-13.4508,29.5928,28.5395,0.792403,1.99741,11,-1,125.232,-20.5221,-37.8188,117.608,1.73055,-2.06797,-11,1,44.0277,-22.865,32.8457,18.3519,0.443845,2.17892,217.122253,93.533061,90.865722
1579,201554,33125604,-13,1,8.39579,7.07049,1.69334,4.19749,0.549294,0.235066,13,-1,4.98771,3.09515,3.48388,1.77446,0.372123,0.844416,11,-1,34.9708,-26.4578,20.0513,10.9946,0.325415,2.49308,-11,1,59.7473,16.7236,-25.2726,51.4914,1.30037,-0.986221,83.661681,70.320706,3.648293
1587,201602,593040911,-13,1,97.9572,27.957,-64.6979,68.0307,0.856587,-1.16291,13,-1,59.2187,36.5869,19.1732,42.4339,0.900545,0.482699,13,-1,26.1341,7.12068,-20.5797,14.4482,0.622479,-1.23769,-13,1,13.3192,3.5683,-10.4946,7.38385,0.624702,-1.24305,98.149099,46.229821,6.879408
1590,201602,760006400,-13,1,180.969,-55.6013,114.635,-128.519,-0.887529,2.0224,13,-1,17.5988,16.2233,5.81277,3.56677,0.205521,0.344048,-11,1,178.434,21.9485,-75.6129,160.124,1.45862,-1.28829,11,-1,15.9088,2.70546,-15.1085,-4.18381,-0.269315,-1.3936,390.279427,88.078483,67.923419
1591,201602,813197428,13,-1,169.634,-9.14072,60.2931,-158.294,-1.68222,1.72126,-13,1,127.771,30.2695,-52.4322,-112.517,-1.3785,-1.04723,-13,1,116.985,-26.9389,5.37049,113.715,2.12806,2.94481,13,-1,11.7319,-5.37756,5.52783,-8.84028,-0.981137,2.34242,391.877471,240.162792,20.409479
1592,201611,159726794,-13,1,187.114,-13.0949,54.5045,178.52,1.87529,1.80658,-13,1,241.874,-37.4737,-25.1368,237.627,2.36334,-2.55074,13,-1,153.317,43.4723,-3.50253,146.983,1.92942,-0.080396,13,-1,170.214,3.87523,-34.4399,166.649,2.27417,-1.45875,183.367269,80.10665,41.221295
1594,201613,3634214,-11,1,82.5174,53.6388,-4.18079,62.5661,0.992007,-0.077786,11,-1,43.2942,-42.7485,0.481254,-6.83524,-0.159211,3.13034,11,-1,48.147,-35.7074,-17.3561,27.2376,0.641201,-2.68915,-11,1,50.9444,19.7616,22.4126,41.2612,1.12681,0.848175,187.405847,38.796238,36.220522
1600,201613,9620116,-13,1,295.529,14.3139,-60.3293,-288.951,-2.24352,-1.33784,13,-1,153.313,9.3499,32.6474,-149.505,-2.18795,1.29187,-11,1,51.2402,36.8156,23.3881,26.8918,0.582966,0.565956,11,-1,106.662,15.3851,29.2051,101.425,1.84116,1.08594,515.340864,88.821248,54.561395
1602,201625,1102215342,-11,1,87.1916,0.209228,-66.4527,56.4479,0.770811,-1.56765,11,-1,50.5193,0.263213,-35.0287,36.4022,0.908809,-1.56328,11,-1,10.5677,-10.0714,-1.25042,-2.94628,-0.286381,-3.01807,-11,1,6.72306,-6.45038,0.402062,-1.85217,-0.2828,3.07934,74.454421,44.871845,29.080889
1606,201625,546665360,-13,1,39.7769,35.3474,13.8983,11.8146,0.306252,0.374622,13,-1,60.1667,-28.3172,-22.3005,-48.1752,-1.10055,-2.47451,13,-1,29.2208,-6.28871,28.193,4.41079,0.15211,1.79026,-13,1,21.8449,1.30661,-18.2024,-12.0063,-0.617842,-1.49914,144.447054,43.374351,27.093038
1610,201625,761472637,-13,1,124.792,-10.1115,48.8255,114.397,1.568,1.775,13,-1,41.9394,-6.46276,-17.3245,-37.6429,-1.45952,-1.92785,11,-1,57.6999,-11.9239,47.2402,-30.9106,-0.598124,1.81804,-11,1,44.0637,-2.635,-35.5127,-25.9521,-0.676085,-1.64486,262.404117,143.670278,82.298043
1613,201625,845122892,-13,1,120.493,-18.8874,-105.261,-55.516,-0.49825,-1.74834,13,-1,26.1353,25.7419,-1.04655,4.39357,0.169721,-0.040633,11,-1,120.663,-21.1482,115.669,-27.0728,-0.228251,1.75163,-11,1,21.7849,17.3305,-6.25746,11.6224,0.595037,-0.346499,281.272556,89.817757,86.822095
1620,201658,460034947,13,-1,99.4098,-25.2843,18.3816,-94.3669,-1.82437,2.51298,-13,1,32.8566,26.4965,-11.1488,-15.9117,-0.52856,-0.398277,13,-1,12.9317,-4.9673,-6.80639,-9.809,-0.99279,-2.20124,-13,1,8.40666,-3.85984,-4.84749,-5.68016,-0.821209,-2.24325,87.745995,26.811372,21.63674
1622,201668,114003150,-13,1,51.4729,-43.8731,-17.6634,20.3126,0.417269,-2.75885,13,-1,57.19,46.2732,-4.33823,-33.3266,-0.666595,-0.093479,13,-1,39.7085,26.568,25.7511,-14.4145,-0.380347,0.769785,-13,1,34.5559,-30.7061,1.15764,15.8081,0.494104,3.10391,182.483597,36.684537,16.17876
1628,201671,261492665,-13,1,80.8241,-48.6987,36.2014,53.3894,0.793812,2.50234,13,-1,14.1858,8.8625,-9.57545,5.56709,0.414695,-0.824047,-13,1,6.17436,-4.15991,-2.70535,3.67258,0.685212,-2.56498,13,-1,5.11459,-3.51746,-3.35765,1.58164,0.319778,-2.37944,67.052636,19.915935,11.205632
1632,201671,394617132,-13,1,235.523,66.6268,-47.2312,-220.909,-1.72076,-0.616668,13,-1,91.2806,27.0435,35.3543,-79.6923,-1.34576,0.91781,-11,1,90.9917,-62.2979,-19.9077,63.2625,0.858057,-2.83229,11,-1,150.641,-42.0993,24.738,-142.508,-1.79235,2.61033,422.695534,202.939413,86.742524
1643,201671,863507729,-13,1,72.5353,10.7102,-42.0958,58.0912,1.10103,-1.32166,13,-1,105.283,19.2377,22.8527,100.957,1.93212,0.871074,11,-1,23.4384,-5.08586,-8.10432,21.3966,1.54457,-2.13123,-11,1,37.1183,-4.38488,-8.43483,35.8803,2.03846,-2.0502,91.249155,71.10446,4.819984
1646,201678,22018994,13,-1,64.8279,41.4685,-32.8318,37.4844,0.659776,-0.669677,-13,1,14.183,9.07218,-7.12277,8.25276,0.66532,-0.665603,13,-1,29.7594,-6.69644,3.08502,28.8314,2.07276,2.70988,-13,1,14.3289,-3.54513,1.92816,13.7484,1.9398,2.64345,67.146173,49.548006,16.472557
1650,201679,229227531,-13,1,33.3457,-15.7517,29.1854,3.46702,0.10435,2.06571,13,-1,50.3469,10.2989,-27.9033,40.6219,1.11791,-1.21721,13,-1,22.7896,3.76284,-15.755,16.0304,0.87403,-1.33635,-13,1,21.5957,3.521,-14.7916,15.3354,0.887427,-1.33711,99.251045,49.466293,5.538425
1655,201692,107217493,13,-1,157.499,-61.5111,-3.70543,-144.943,-1.59086,-3.08143,-13,1,33.5739,20.3321,-21.1144,-16.3701,-0.532891,-0.804271,-11,1,171.613,129.255,-112.618,-7.85079,-0.045779,-0.716722,11,-1,317.398,-82.268,142.076,-271.64,-1.27755,2.09566,517.832788,397.418048,90.416829
1656,201692,68417489,13,-1,85.4166,54.5674,65.7014,1.30308,0.015257,0.877711,-13,1,24.1629,17.7897,-14.9831,6.54725,0.277905,-0.699969,-13,1,13.7526,12.3266,-6.01257,1.01269,0.073772,-0.453816,13,-1,6.90055,6.11984,-3.07468,0.836846,0.121887,-0.465576,82.994148,42.327341,3.558585
1659,201707,227065362,11,-1,25.7416,-24.0258,9.03448,-1.94164,-0.075572,2.78192,-11,1,26.5756,7.67199,-23.8616,-8.83351,-0.345514,-1.25971,-11,1,12.9122,9.60597,7.06043,-4.95985,-0.404886,0.633835,11,-1,11.9331,7.59595,3.42547,-8.54205,-0.899036,0.423652,73.110264,31.297094,23.027472
1661,201707,301120236,-13,1,9.80081,7.53388,6.2412,-0.576825,-0.058926,0.69183,13,-1,6.62395,2.38156,5.6669,2.46577,0.391088,1.17295,-13,1,13.5897,-4.71996,-2.45819,12.5039,1.58987,-2.66144,13,-1,8.26886,-3.76012,-3.45893,6.50077,1.06151,-2.39789,31.482016,19.56097,11.602646
1663,201707,565245444,-13,1,67.8167,-42.2395,-53.0151,2.07974,0.030677,-2.24355,13,-1,48.4375,42.8212,-10.587,-20.011,-0.439382,-0.242378,-11,1,71.3158,-22.6627,66.7968,10.5133,0.148502,1.89789,11,-1,33.5311,26.8174,-20.0985,-1.10186,-0.032872,-0.643155,220.238364,95.644882,93.30758
1665,201707,635670564,-13,1,105.676,-55.0555,17.1948,88.5468,1.21413,2.83887,13,-1,42.2083,31.2738,17.0305,22.6592,0.599711,0.498659,13,-1,16.8552,10.1316,12.2614,5.57659,0.343792,0.880223,-13,1,11.4417,-11.3723,0.491914,-1.15304,-0.101123,3.09836,121.80522,36.788774,10.900213
1669,201707,805047482,11,-1,63.7193,-1.63931,37.687,51.3532,1.1153,1.61427,-11,1,65.6718,5.6909,-36.1506,54.5301,1.18924,-1.41466,11,-1,37.346,-26.3683,-12.9181,23.0772,0.72165,-2.68605,-11,1,33.6273,-16.6178,-22.6038,18.5395,0.620279,-2.20474,125.374369,57.239722,30.816686
1671,201718,30470202,13,-1,7.68852,4.91184,-3.25591,-4.93711,-0.761911,-0.585369,-13,1,9.77304,1.20202,-4.85953,-8.39293,-1.28889,-1.32831,11,-1,49.2321,-40.6949,24.9929,11.9615,0.247918,2.59083,-11,1,41.2709,34.7038,-22.1062,3.20122,0.077722,-0.567181,107.822227,88.975607,4.896576
1674,201727,43697222,-11,1,158.849,86.5379,-9.53531,-132.865,-1.20916,-0.109744,11,-1,73.051,-42.2094,57.2146,-16.7722,-0.233763,2.2064,11,-1,159.411,15.8922,-63.9054,-145.174,-1.53154,-1.32706,-11,1,112.454,-57.2814,7.83265,-96.454,-1.28465,3.0057,317.193362,89.990437,86.385002
1676,201729,89462168,-13,1,16.6571,8.73361,-12.9363,5.81587,0.364485,-0.976963,13,-1,9.71432,0.934985,-6.52543,7.13453,0.938381,-1.42848,11,-1,42.5684,-33.1503,13.4413,-23.0751,-0.607083,2.75638,-11,1,14.1448,13.4289,-3.02343,3.2556,0.234361,-0.221451,81.68855,48.229751,7.449716
1681,201802,319494361,13,-1,17.9593,9.20016,-8.70146,-12.7345,-0.885348,-0.757547,-13,1,19.2459,9.40024,-4.23295,-16.2515,-1.2364,-0.423106,-11,1,208.244,-71.141,98.577,-169.077,-1.13263,2.19592,11,-1,554.381,78.7685,-84.5745,-542.2,-2.25004,-0.820928,301.744919,274.640986,5.546609
1683,201802,412239862,-11,1,123.676,38.61,2.45204,117.469,1.82988,0.063423,11,-1,61.0331,-9.706,21.6009,56.2515,1.59992,1.9931,11,-1,18.5184,-13.6075,8.06564,9.62875,0.576279,2.60653,-11,1,7.33339,-5.42087,3.13014,3.82033,0.577643,2.61794,89.238088,57.70323,14.996855
1694,201824,201387532,-13,1,105.298,82.3396,47.0393,45.7721,0.465668,0.519037,13,-1,134.235,29.0123,54.1315,119.361,1.41807,1.0788,11,-1,115.625,-69.2741,-30.3332,-87.4652,-0.987876,-2.72887,-11,1,37.0032,-8.20614,-34.7883,-9.57456,-0.264768,-1.80245,383.023318,86.442703,60.2881
1696,201824,397894200,-11,1,148.092,-10.5191,52.9159,137.915,1.66793,1.76703,11,-1,12.8326,10.6914,-2.84205,-6.50327,-0.558384,-0.259818,-11,1,24.0561,5.74525,6.44816,22.4524,1.68365,0.842981,11,-1,15.7884,4.3104,6.62553,13.6674,1.31549,0.994017,90.272893,28.692054,17.199758
1697,202016,160415664,-13,1,50.0649,-32.7091,17.9622,-33.376,-0.804699,2.6394,13,-1,48.1917,10.8323,-17.8317,-43.441,-1.47976,-1.0249,13,-1,13.3891,12.5195,0.809602,4.67589,0.364581,0.064577,-13,1,7.55859,-3.57066,-6.57153,-1.08933,-0.145142,-2.06852,92.99527,49.423813,21.837937
1698,202016,191382222,11,-1,207.668,110.034,154.184,-85.1228,-0.435489,0.950968,-11,1,241.707,-38.0724,-142.53,-191.463,-1.07711,-1.83182,11,-1,156.599,-53.512,-28.9656,-144.294,-1.59837,-2.64546,-11,1,31.1279,21.6484,-13.2534,-18.0178,-0.660704,-0.549352,459.048645,247.353987,77.578744
1700,202016,407076966,-13,1,127.535,-54.4985,100.216,57.0256,0.481115,2.06888,13,-1,36.5013,-0.739393,-14.6431,33.4271,1.56223,-1.62125,-11,1,492.281,58.0146,-64.5211,484.574,2.4211,-0.838447,11,-1,14.9524,2.75536,-14.0194,4.40885,0.30388,-1.37673,338.788127,91.390759,91.213466
1702,202016,559670208,-11,1,166.8,3.94837,166.432,-10.3462,-0.062107,1.54708,11,-1,414.967,-11.8806,-151.782,386.029,1.66035,-1.64891,-11,1,86.2192,24.4404,-3.41183,82.6122,1.92301,-0.138702,11,-1,13.6753,-7.15423,-8.51946,-7.9529,-0.664807,-2.26931,511.62438,85.557929,85.380496
1703,202016,560584768,-13,1,124.714,-19.8479,-16.9686,-121.949,-2.2456,-2.43424,13,-1,22.7816,21.0304,-6.71721,-5.62034,-0.251905,-0.309163,-13,1,10.2078,3.91608,7.47078,-5.74802,-0.637406,1.08799,13,-1,7.58123,2.80153,5.29039,-4.6505,-0.714485,1.08379,90.011772,39.41233,15.697598
1712,202044,431033080,13,-1,26.3857,19.5584,17.3414,3.597,0.137179,0.725388,-13,1,55.2766,-23.1747,-8.42043,49.4724,1.4465,-2.79308,11,-1,60.1483,12.2077,-7.22148,58.452,2.12367,-0.534184,-11,1,6.63349,-6.62638,0.276411,0.133732,0.020163,3.0999,97.780437,61.316463,30.791791
1714,202044,513745253,11,-1,86.1726,71.3899,39.9785,27.0354,0.324684,0.51049,11,-1,75.7034,-21.4368,37.822,61.9755,1.15275,2.08643,-11,1,37.7285,-1.94144,-34.0604,16.1108,0.456248,-1.62773,-11,1,26.7182,-9.82402,10.4957,22.5209,1.23112,2.32315,174.726968,92.907349,6.221216
1715,202044,530312812,13,-1,39.1164,32.4666,6.21663,20.913,0.596615,0.189188,-13,1,54.3158,-20.486,-9.89155,-49.3222,-1.51638,-2.69176,-11,1,82.9177,-37.0276,5.51313,-73.9858,-1.433,2.99379,11,-1,27.559,24.9259,-3.89959,11.0901,0.426524,-0.155189,182.312893,90.000986,88.121811
1719,202045,182964400,13,-1,294.493,40.3058,68.0537,283.673,1.98922,1.03608,-13,1,105.437,-17.6521,-19.6658,102.071,2.06082,-2.30229,13,-1,22.8153,6.09719,-10.5466,-19.2905,-1.2402,-1.04662,-13,1,13.3888,3.58207,-6.17493,-11.3264,-1.24187,-1.04514,249.097404,159.141908,70.846872
1724,202045,484846044,13,-1,20.2849,-11.941,-15.1103,-6.36856,-0.324932,-2.23957,13,-1,22.5742,8.14833,8.51237,-19.2542,-1.26685,0.807245,-13,1,11.366,-2.12983,-8.3755,-7.38168,-0.774402,-1.81981,-13,1,4.295,-1.4457,-4.03342,-0.278156,-0.064873,-1.91496,43.60413,20.155049,3.782446
1729,202045,684580571,13,-1,79.9191,-37.8477,48.5511,-50.9647,-0.754295,2.23294,-13,1,75.2672,-46.3723,-23.2099,-54.5532,-0.917671,-2.67754,11,-1,98.5579,-61.4289,-25.909,-72.5869,-0.942766,-2.74246,-11,1,35.5344,1.98662,-15.1975,-32.059,-1.48391,-1.44081,136.476702,72.205094,42.507076
1731,202045,719292597,13,-1,110.179,-108.045,17.5266,-12.5876,-0.114748,2.98078,-13,1,48.8931,-14.2646,-8.61224,-45.966,-1.73921,-2.59842,-13,1,12.4089,-12.3072,0.256558,-1.56084,-0.126459,3.12075,13,-1,9.10534,-8.98469,0.120633,-1.46858,-0.16272,3.12817,90.062406,26.893432,4.878975
1737,202054,124343624,-13,1,118.713,-13.2997,39.4478,-111.174,-1.70878,1.89598,13,-1,33.6425,-21.0831,-22.93,-12.7093,-0.397464,-2.31426,-13,1,13.6031,-0.384966,8.75737,-10.4016,-1.00737,1.61473,13,-1,6.24954,-0.119596,4.05772,-4.75039,-0.996752,1.60026,90.814565,32.191485,10.215891
1738,202054,170782548,-13,1,44.2832,-24.5363,-28.9113,-22.8714,-0.571531,-2.27452,13,-1,60.7555,14.4922,32.0513,-49.5369,-1.14279,1.14615,-13,1,13.6806,4.00492,-5.1819,-12.0106,-1.3668,-0.912821,13,-1,8.66949,2.53076,-3.10239,-7.68891,-1.40748,-0.886528,87.779738,26.239858,18.998281
1746,202054,400223325,-13,1,68.1705,-36.8824,-28.3676,49.8214,0.930521,-2.48596,13,-1,21.2673,6.9234,8.80406,18.0788,1.25646,0.904411,-11,1,27.7892,15.8685,6.33055,21.9169,1.06795,0.37959,11,-1,25.7987,11.7131,6.21459,22.1304,1.285,0.487801,88.708501,45.917416,3.656938
1749,202060,1041649789,-11,1,64.7271,3.42893,30.8299,-56.8098,-1.36558,1.46003,11,-1,19.0617,4.74927,-18.3228,2.25137,0.118663,-1.31718,11,-1,9.24744,-3.60889,-7.97577,2.97963,0.334112,-1.99571,-11,1,8.86819,-3.45658,-7.65473,2.84639,0.332724,-1.99495,89.435291,45.301233,8.808433
1754,202060,912263333,-13,1,145.354,-45.156,54.4528,126.979,1.34801,2.26313,-13,1,143.446,-25.0067,-11.4731,140.783,2.33512,-2.71145,13,-1,34.2426,-8.08102,-8.01859,32.2946,1.76553,-2.36007,13,-1,4.60668,-4.22584,0.355254,1.79624,0.411827,3.05772,90.501048,21.509398,11.944026
1758,202074,38166085,-11,1,114.905,-70.6866,34.7552,83.6585,0.924595,2.68462,-11,1,58.2864,45.0598,36.2677,7.18165,0.123842,0.677709,11,-1,60.5111,40.7182,-34.32,-28.7361,-0.516364,-0.700338,11,-1,43.985,-32.351,-29.5433,-3.90886,-0.089103,-2.40153,270.877304,90.786101,79.288037
