,Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4,mass,mass_z1,mass_z2
1242,200041,185913086,13,-1,12.2981,7.83727,-3.2803,-8.89101,-0.913864,-0.396396,-13,1,20.3522,-5.01501,3.68868,19.3764,1.85341,2.50742,-13,1,5.82891,-0.978303,-5.63719,-1.10911,-0.192657,-1.74263,13,-1,11.6165,4.04488,-0.005723,10.889,1.71628,-0.001415,45.131141,10.100447,9.565459
1243,200041,294440428,11,-1,32.3029,-11.5636,16.7905,25.0568,1.03444,2.1739,11,-1,19.5759,6.42478,-17.6478,5.52236,0.289962,-1.22165,-11,1,12.9853,8.73941,-5.72387,7.71213,0.683692,-0.579847,-11,1,10.6384,-2.97376,7.57444,6.85278,0.765241,1.94491,60.508354,10.435152,4.555086
1248,200041,908171269,-13,1,41.9995,-6.92255,-34.7628,22.5295,0.599122,-1.76736,13,-1,44.9518,13.1191,20.6425,37.7151,1.21784,1.00465,13,-1,14.4187,-11.9477,7.40166,3.21793,0.227004,2.58696,-13,1,9.1131,-7.38089,5.28373,0.801235,0.088155,2.5203,88.894176,37.621335,27.09998
1249,200042,250036559,-13,1,88.5839,28.0505,-82.8977,-13.72,-0.156138,-1.24452,-13,1,88.981,-17.7841,56.9194,66.0418,0.955363,1.87363,13,-1,46.8406,-9.2857,15.2172,43.3156,1.62085,2.11869,13,-1,36.2709,-4.08527,9.59531,-34.7391,-1.91825,1.97331,253.441483,85.398267,23.494743
1252,200042,294003343,13,-1,97.8749,8.70817,-28.3383,-93.2769,-1.86374,-1.27266,-13,1,16.9854,-6.31884,7.19371,14.0291,1.17531,2.29154,-13,1,12.2516,-8.60562,-0.578989,-8.70053,-0.887546,-3.07441,13,-1,7.70519,-4.89599,0.766023,-5.89927,-1.00984,2.98639,93.838019,29.870213,18.82555
1257,200075,350717636,-13,1,17.1249,-0.073333,-14.6058,-8.93948,-0.579124,-1.57582,13,-1,11.9581,1.83349,-10.5415,-5.33852,-0.480261,-1.39859,-13,1,8.1756,-8.07224,-0.970903,-0.851763,-0.104572,-3.02189,13,-1,7.0902,-6.97168,-0.5161,-1.1786,-0.167805,-3.0677,28.548361,15.33828,13.103182
1258,200075,370467382,-13,1,18.7388,5.6815,-14.7167,-10.1129,-0.603712,-1.20237,13,-1,19.1001,9.96212,-11.3227,-11.72,-0.7147,-0.849232,13,-1,7.28018,1.6376,5.44081,-4.55036,-0.733331,1.27844,-13,1,5.06126,0.210902,4.193,-2.8248,-0.630277,1.52054,33.012695,17.954519,14.761338
1261,200075,451096187,-13,1,138.497,70.9025,79.166,-88.8095,-0.760269,0.840407,13,-1,36.4009,-21.8456,-2.43516,-29.0148,-1.09059,-3.03058,-11,1,172.748,-22.1758,-42.68,165.917,1.95178,-2.04999,11,-1,180.15,-6.70543,-43.6059,174.665,2.08472,-1.72337,477.963558,91.719728,16.171509
1264,200075,85323218,-13,1,164.057,-13.5703,36.7397,159.313,2.11099,1.92462,13,-1,132.646,4.83882,-30.4876,129.004,2.13725,-1.4134,11,-1,43.2169,8.92111,-6.40164,41.7987,2.04673,-0.62243,-11,1,14.4476,0.827857,-6.59735,12.8266,1.41146,-1.44597,88.996338,69.214523,8.789486
1269,200091,1337366574,13,-1,80.5223,47.6094,31.9621,56.5296,0.871307,0.591231,-13,1,52.9873,3.50414,-45.9305,26.1869,0.541619,-1.49465,-13,1,45.0862,-37.4464,8.45804,23.643,0.582384,2.91945,13,-1,16.1109,-12.8838,3.38142,9.06218,0.636482,2.88493,156.790908,87.251219,40.418577
1271,200091,1530537922,11,-1,185.16,-28.1325,-71.0389,-168.66,-1.53272,-1.94786,11,-1,75.4464,9.88009,-63.6935,-39.2133,-0.575998,-1.4169,-11,1,63.6627,-49.6266,-31.5013,24.4501,0.40481,-2.576,-11,1,16.0129,11.4816,5.85226,9.50453,0.683138,0.471384,237.994247,156.701214,60.66516
1272,200091,1605749984,13,-1,144.141,-20.4721,42.323,136.258,1.78576,2.02133,-13,1,17.331,9.24923,-12.4964,-7.65804,-0.47456,-0.933628,11,-1,14.1546,11.1802,-8.48591,1.82908,0.129948,-0.649243,-11,1,38.4288,-6.63377,4.672,37.5625,2.23705,2.528,129.912747,92.302103,34.323482
1275,200091,1745216870,13,-1,290.646,121.636,24.753,262.806,1.49485,0.200759,13,-1,66.4581,-52.5929,-39.9198,7.55454,0.114167,-2.49233,-13,1,76.0851,-48.4063,30.9312,49.8902,0.785261,2.573,-13,1,56.6243,-12.2534,-15.4847,53.0695,1.71472,-2.24022,316.984075,168.075778,64.802019
1279,200091,417633314,-11,1,105.96,-53.918,16.1579,89.7736,1.24629,2.85043,11,-1,108.765,4.42105,-37.6042,101.962,1.71659,-1.45377,11,-1,39.1504,14.6045,-15.1522,33.0133,1.23229,-0.803802,-11,1,23.2416,9.03846,-9.57532,19.1517,1.16925,-0.814232,120.440353,66.587106,18.712258
